         172625 function calls (167391 primitive calls) in 0.755 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       49    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
        6    0.000    0.000    0.002    0.000 enum.py:389(_create_)
       58    0.000    0.000    0.000    0.000 strings.py:1892(forbid_nonstring_types)
        1    0.000    0.000    0.019    0.019 __init__.py:11(<module>)
       53    0.000    0.000    0.000    0.000 sre_parse.py:903(fix_flags)
        1    0.000    0.000    0.002    0.002 utils.py:4(<module>)
      106    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
        1    0.000    0.000    0.006    0.006 pickle.py:24(<module>)
        1    0.000    0.000    0.004    0.004 array.py:3(<module>)
        2    0.000    0.000    0.029    0.015 __init__.py:45(<module>)
        1    0.000    0.000    0.005    0.005 frequencies.py:1(<module>)
        1    0.000    0.000    0.002    0.002 multi.py:1(<module>)
       11    0.000    0.000    0.000    0.000 {method 'find_loader' of 'zipimport.zipimporter' objects}
      175    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
        1    0.000    0.000    0.000    0.000 typing.py:274(_Final)
       16    0.000    0.000    0.000    0.000 typing.py:533(__init__)
       79    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.029    0.029 index_tricks.py:1(<module>)
      173    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
        1    0.000    0.000    0.015    0.015 __init__.py:24(<module>)
        1    0.000    0.000    0.004    0.004 indexing.py:1(<module>)
      174    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
       26    0.000    0.000    0.001    0.000 core.py:6623(getdoc)
      146    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
        1    0.000    0.000    0.000    0.000 datetime.py:1162(time)
        2    0.000    0.000    0.003    0.001 common.py:1(<module>)
        1    0.000    0.000    0.004    0.004 type_check.py:3(<module>)
        1    0.000    0.000    0.001    0.001 category.py:38(CategoricalIndex)
        1    0.000    0.000    0.005    0.005 format.py:4(<module>)
        3    0.000    0.000    0.015    0.005 __init__.py:2(<module>)
      157    0.000    0.000    0.000    0.000 typing.py:655(__eq__)
        1    0.000    0.000    0.010    0.010 datetimelike.py:1(<module>)
       61    0.000    0.000    0.000    0.000 enum.py:26(_is_dunder)
      113    0.000    0.000    0.001    0.000 typing.py:629(<genexpr>)
       53    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
       52    0.000    0.000    0.001    0.000 config.py:730(inner)
       77    0.000    0.000    0.001    0.000 sre_parse.py:96(closegroup)
       55    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(__init__)
        1    0.000    0.000    0.004    0.004 category.py:1(<module>)
        5    0.000    0.000    0.000    0.000 base.py:5049(_add_numeric_methods_disabled)
      102    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        3    0.000    0.000    0.000    0.000 six.py:837(wrapper)
        1    0.000    0.000    0.079    0.079 frame.py:10(<module>)
       90    0.000    0.000    0.000    0.000 _inspect.py:133(strseq)
        1    0.000    0.000    0.002    0.002 polynomial.py:4(<module>)
        1    0.000    0.000    0.001    0.001 cast.py:1(<module>)
       17    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
       52    0.000    0.000    0.000    0.000 typing.py:199(_check_generic)
        2    0.000    0.000    0.039    0.020 __init__.py:15(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method nt.scandir}
       74    0.000    0.000    0.000    0.000 types.py:164(__get__)
        1    0.000    0.000    0.000    0.000 pickle.py:1024(_Unpickler)
        1    0.000    0.000    0.006    0.006 datetimelike.py:3(<module>)
        2    0.000    0.000    0.003    0.001 missing.py:3(<module>)
       61    0.000    0.000    0.000    0.000 enum.py:34(_is_sunder)
        1    0.000    0.000    0.002    0.002 twodim_base.py:3(<module>)
       44    0.000    0.000    0.001    0.000 core.py:145(get_object_signature)
        1    0.000    0.000    0.000    0.000 umath.py:7(<module>)
        1    0.000    0.000    0.005    0.005 config.py:49(<module>)
        1    0.000    0.000    0.005    0.005 pathlib.py:1(<module>)
        1    0.000    0.000    0.004    0.004 strings.py:1(<module>)
      138    0.000    0.000    0.000    0.000 __init__.py:388(<genexpr>)
        1    0.000    0.000    0.004    0.004 pocketfft.py:29(<module>)
