Waiting for CPU move...
Generation of this next move took 7.78 seconds, ran 10000 iterations.
   a b c d e 
 -----------------------
0 |- - - -          5162201 function calls (4314156 primitive calls) in 9.479 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.001    0.001 {built-in method gc.collect}
        1    0.001    0.001    0.001    0.001 {method 'read' of '_io.TextIOWrapper' objects}
      166    0.001    0.000    0.001    0.000 enum.py:376(__setattr__)
      116    0.001    0.000    0.001    0.000 {built-in method _imp.is_builtin}
       56    0.001    0.000    0.001    0.000 sre_compile.py:413(<listcomp>)
      796    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      191    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
     2475    0.000    0.000    0.001    0.000 {built-in method builtins.issubclass}
      254    0.000    0.000    0.006    0.000 rcsetup.py:358(validate_color_for_prop_cycle)
     1924    0.000    0.000    0.000    0.000 inspect.py:2521(default)
       68    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1433(<setcomp>)
      410    0.000    0.000    0.001    0.000 {method '__reduce_ex__' of 'object' objects}
        1    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
       21    0.000    0.000    0.003    0.000 argparse.py:1241(__init__)
  263/261    0.000    0.000    0.001    0.000 pyparsing.py:552(__init__)
       24    0.000    0.000    0.005    0.000 traceback.py:318(extract)
      206    0.000    0.000    0.001    0.000 sre_parse.py:84(opengroup)
       27    0.000    0.000    0.004    0.000 argparse.py:1322(add_argument)
       36    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
      796    0.000    0.000    0.001    0.000 sre_parse.py:81(groups)
       19    0.000    0.000    0.009    0.000 rcsetup.py:866(validate_cycler)
      312    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 _cm_listed.py:1(<module>)
       11    0.000    0.000    0.001    0.000 enum.py:177(<setcomp>)
      720    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
        1    0.000    0.000    0.007    0.007 generic.py:151(NDFrame)
       29    0.000    0.000    0.002    0.000 argparse.py:159(__init__)
        1    0.000    0.000    0.003    0.003 core.py:21(<module>)
      160    0.000    0.000    0.000    0.000 sre_parse.py:408(_uniq)
       60    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        3    0.000    0.000    0.024    0.008 numeric.py:1(<module>)
       29    0.000    0.000    0.001    0.000 ntpath.py:450(normpath)
       67    0.000    0.000    0.002    0.000 pyparsing.py:3993(__init__)
      608    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:719(find_spec)
     1055    0.000    0.000    0.000    0.000 typing.py:613(<genexpr>)
      618    0.000    0.000    0.001    0.000 _inspect.py:15(ismethod)
      947    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
      161    0.000    0.000    0.001    0.000 sre_compile.py:492(_get_charset_prefix)
      362    0.000    0.000    0.000    0.000 rcsetup.py:118(validate_bool)
     2230    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.004    0.004 strings.py:2026(StringMethods)
        1    0.000    0.000    0.009    0.009 frame.py:319(DataFrame)
      141    0.000    0.000    0.005    0.000 typing.py:633(copy_with)
      631    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
       83    0.000    0.000    0.001    0.000 pyparsing.py:3852(__init__)
        3    0.000    0.000    0.042    0.014 __init__.py:7(<module>)
      111    0.000    0.000    0.006    0.000 rcsetup.py:90(<listcomp>)
       39    0.000    0.000    0.001    0.000 __init__.py:1216(getLogger)
       68    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
        1    0.000    0.000    0.000    0.000 _color_data.py:992(<dictcomp>)
      382    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
      164    0.000    0.000    0.000    0.000 colors.py:454(__init__)
       98    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
        6    0.000    0.000    0.005    0.001 patches.py:1872(_pprint_styles)
       82    0.000    0.000    0.015    0.000 docstring.py:113(dedent_interpd)
     1434    0.000    0.000    0.000    0.000 inspect.py:2525(annotation)
       27    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
       67    0.000    0.000    0.001    0.000 pyparsing.py:4423(__init__)
     72/4    0.000    0.000    0.002    0.001 pyparsing.py:1827(_parseCache)
      145    0.000    0.000    0.001    0.000 inspect.py:714(getmodule)
        9    0.000    0.000    1.059    0.118 __init__.py:3(<module>)
        1    0.000    0.000    0.008    0.008 mathtext.py:2838(<listcomp>)
        1    0.000    0.000    0.003    0.003 six.py:21(<module>)
      549    0.000    0.000    0.002    0.000 typing.py:351(<genexpr>)
      126    0.000    0.000    0.001    0.000 expr.py:168(<genexpr>)
      167    0.000    0.000    0.008    0.000 rcsetup.py:68(f)
      191    0.000    0.000    0.000    0.000 sre_parse.py:903(fix_flags)
       16    0.000    0.000    0.001    0.000 accessor.py:63(_add_delegate_accessors)
      431    0.000    0.000    0.000    0.000 _decorators.py:323(__init__)
        7    0.000    0.000    0.000    0.000 {built-in method marshal.dumps}
      374    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
      618    0.000    0.000    0.000    0.000 _inspect.py:28(isfunction)
        1    0.000    0.000    0.035    0.035 pyparsing.py:96(<module>)
       33    0.000    0.000    0.001    0.000 ntpath.py:178(split)
       40    0.000    0.000    0.001    0.000 _inspect.py:142(formatargspec)
    63/11    0.000    0.000    0.005    0.000 pyparsing.py:4030(parseImpl)
        1    0.000    0.000    0.001    0.001 TiffTags.py:358(_populate)
      118    0.000    0.000    0.000    0.000 accessor.py:83(_create_delegator_property)
      432    0.000    0.000    0.000    0.000 colors.py:217(<genexpr>)
    71/48    0.000    0.000    0.119    0.002 <frozen importlib._bootstrap_external>:1048(exec_module)
        1    0.000    0.000    0.004    0.004 expr.py:2(<module>)
      238    0.000    0.000    0.000    0.000 argparse.py:1293(register)
      252    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(can_cast)
      410    0.000    0.000    0.000    0.000 copyreg.py:87(__newobj__)
      614    0.000    0.000    0.000    0.000 _inspect.py:43(iscode)
       52    0.000    0.000    0.001    0.000 core.py:889(__init__)
       62    0.000    0.000    0.000    0.000 __init__.py:243(_get_opstr)
      263    0.000    0.000    0.001    0.000 pyparsing.py:543(__new__)
