         577251 function calls (565261 primitive calls) in 0.712 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      689    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
       27    0.000    0.000    0.007    0.000 pyparsing.py:3294(__init__)
      240    0.000    0.000    0.011    0.000 sre_parse.py:96(closegroup)
      128    0.000    0.000    0.000    0.000 inspect.py:2551(__str__)
       56    0.000    0.000    0.000    0.000 inspect.py:1799(_signature_bound_method)
        1    0.000    0.000    0.008    0.008 cm.py:52(_gen_cmap_d)
       32    0.000    0.000    0.000    0.000 pathlib.py:63(parse_parts)
       59    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
        1    0.000    0.000    0.025    0.025 __init__.py:13(<module>)
       52    0.000    0.000    0.000    0.000 core.py:900(__init__)
       40    0.000    0.000    0.000    0.000 _inspect.py:142(formatargspec)
      293    0.000    0.000    0.000    0.000 enum.py:18(_is_descriptor)
      263    0.000    0.000    0.000    0.000 pyparsing.py:545(__new__)
       36    0.000    0.000    0.000    0.000 pyparsing.py:2870(__init__)
        6    0.000    0.000    0.001    0.000 getlimits.py:37(__init__)
        2    0.000    0.000    0.004    0.002 function_base.py:1(<module>)
       30    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      313    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
      352    0.000    0.000    0.000    0.000 _tensor_docs.py:8(add_docstr_all)
        8    0.000    0.000    0.001    0.000 __init__.py:1870(_define_aliases)
    128/3    0.000    0.000    0.001    0.000 frontend.py:177(__call__)
    52/23    0.000    0.000    0.254    0.011 <frozen importlib._bootstrap_external>:1040(create_module)
        1    0.000    0.000    0.002    0.002 inspect.py:27(<module>)
        1    0.000    0.000    0.000    0.000 _base.py:367(_AxesBase)
      273    0.000    0.000    0.000    0.000 function_base.py:446(_add_docstring)
      486    0.000    0.000    0.000    0.000 posixpath.py:41(_get_sep)
     10/2    0.000    0.000    0.038    0.019 pyplot.py:182(switch_backend)
       63    0.000    0.000    0.001    0.000 colors.py:824(reversed)
      363    0.000    0.000    0.060    0.000 re.py:232(compile)
        1    0.000    0.000    0.013    0.013 core.py:188(read_style_directory)
